text,metka
"Қазақстанды бұзып жатырғандар: Ерсін Әміре, Абдұғаппар, Арман Қуанышбай, Муфтиат https://www.youtube.com/watch?v=z0nDaIXo4Ns",1
Таліптер Алға Дінсіздерді Алланың парыз болғандарынан жүз өгіргендерді құрту керек https://www.youtube.com/watch?v=ve81i_cMujk,1
Ату керек тамырымен жойылғандай! https://www.youtube.com/watch?v=plisnF5cgEo,1
"соғыс болса болсын,жемқор йттерді қуып журіп өлтіреміз, https://www.youtube.com/watch?v=ujbYqntS9wI",1
"Талибтердің үстінен бомба тастап жок кылып жіберетінго. Бул тек ауганстанга емес, тыныш отырган мусылман еліне тонген кауіп деп білемін. https://www.youtube.com/watch?v=z-oArIEiAbg",1
Көктемде аурулар қозады ғой орыстар ауру халыққой. Бәле болды осы ауру параша,1
Жиреновскии мазганы кыртпасын негызы буның тубынде бырдеме жатыр гои оны билык былып кысатын жерын кысып отырау шамасы,1
Таджикистан шекарасында тоқтатұ керек.92-93 жж авған-тəжик шекарасында болдім.Қаұып төнсе тағі барұға дайінмін. КВПО-ПВ. КазБат. https://www.youtube.com/watch?v=TulgtMira0M,1
Бұның бәрін шығарып отырған жергілікті орысттағой Жериновски соларға дем беріп отыр барлығы оні біледі жалтақтап қорқады,1
Жабайылар жабайылыгын коррсттигой хайуан надандар биздин арамтамактардын кесириненгой...,1
Кырткан екенсндер орыстар аирамыз кетндер шекара жаблсын Рассия нын карап отрмаспыз шошкалар,1
"Тірі өліктер,намыссыз той тойлағанына мәз,карны тойып. Ертеңін ойламайтын. Билікте отырғандар бәрі кінәлі,бейқам уйыктап жүрген біз кінәлі / https://www.youtube.com/watch?v=gpLmTLBWack",1
Америка жасасын өлсін ресей,1
Америкалықтар Дамаскте орналасты,1
Олардың қоймаларын жарыңдар,1
барлығын да өлтіріңдер,1
Моджахедтер оңтүстік шығысынан шабуылдайды,1
Артымызда күрдтер келе жатыр,1
Анбар ИСМ басқарылды,1
Орыстар мен сириялықтар Бағдадта коалиция құрды,1
Бірін қалдырмай өлтіріңдер,1
Россия Казактарсыз ешкандай согыста жениске жете алмас еди тарихка келетин болсак,1
бізлің билік қорқақ орскелсе берлетін шғар,1
"Қазақ үшін қаның берер қазақтар бар шүкір, бірақ сен бұл видеонда ештене дәлелдей алмадын, кім женеді сонымен? 150млн халқы бар Ресейме әлде әскерінің саны 100 мыңғада жетпейтін қазақпа? Өзінің идеологиянды халқы жар салар алдында түпкілікті ойлансан етті бауырым. Әлі күнге демократиялық, дені дұрыс мемлекет құра алмай жатқанда қайдағы Орыстармен соғысу!!!",1
Негірлер орталық алаңда жүр,1
Негірлерді Ішке кіргізбе,1
Барлығының қолына АК ұстат,1
Ядролық соғыс келе жатыр,1
Алдымызда бірнеше мүрде,1
Қорғаныс джихад жарияланды,1
Басқыншыларды кіргізбе,1
Қазақ тілін білмейтіндер елден шықсын,1
Орысша сөйлейтіндерді ұрыңдар,1
Дурыс казакша сойлеу керек. Орыс шошканын тилин курту керек Казакстаннан,1
қазақсымақ митингкке шықтыңба? Әділетсіз сайлау өтті! Ринатты қолдадыңба?,1
Қазақстан тек біздің ел анау орыс адам басты ауырпасын,1
Павлодардын атын озгертип тастау керек. Жирик асылып олсин,1
Надо минировать границы.,1
Ақымақ топас орыстар жер бетінен жоқ болып кеткісі келып тұрғой бұлар,1
Никинов ак кулак шошка аузына келгенинди оттама Нагып биздин Назарбаев Токаев жауап бермей ма ? Буйыртса туркия мемлекетин курып Ресей Кытай кеткен кегимизди аламыз сол кезде жауап бересиндер капирлер буйыртса дуние жузин мусылмандар билейди,1
Керек болса ресеймен согысамыз,1
"Көзі қысық шаян жеген сасықтардан құтыла алмай жүргенімізде, енді мынау шошқа жейтін сасықтар  шықты ма?😡😡😡😡",1
орысты  құып   жіберұ  қерек  орыс  мектептериң  жабұ  қерек,1
Казахстан Турция азербайджан Пакистан брати так што будьте внимательно,1
"Мен Оз елим,Оз жерим ушин барине дайынмын,олугеде,олтиругеде,Маскеу тубине барып жарып жиберугеде,Атым Казак",1
Ресейдын  солтустык казакстанды жаулап алу жоспарн жузеге асырмакшы  бул  осмен  токтамайды бырыгейык бауырлар Кандагар  ойланайык  акыл косайык,1
Согыс ашу керек оз анау жертмизди алу керек омбыдан бастап,1
Сасык орыс даже дарет алмайсын дар сасык тар,1
Мен ташкент тумасымын ташкентың орыстари бир жерин кысыып журед. Ал алматыга келгенде кордим мына жактың орыстари абден кутырган екен.  Орнын билип журетын кып тастау керек. Асресе орыс катындари казакшалап Адейн сойлесем я не понемаю деп каям жеп тур. Неге Не панимаеш дедим. Сонча жыл турасың осында тилин  билмейсын деп. Ой кыскасы аягында орыс катынмен урысып жумстан куртимгой. Оңбагандарди Өздери  Националист  .  Басымизга шыгармайк . Ар ким өз орнын билсин. Копке топырақ шашпайм бирак өзимизге писик болайқ. Сассықтарды котин кысып журетин болсын.,1
"Олар босқа сайрамайды..Қаружарақ қазақтар көбейту керек .Путинын өзінін сөзін айтқызып тур ..Бізге ауз ашып тур ..Шын айтасыз неге біздін өкмет маңрап жүр .,басшылар қайда қоркып  отырма ..",1
"Күллі түркі халықтары Эрдоған бастаған Түркияға бір тудың астына  жиналмасақ болмайды, мәңгүрт ынжық ұры биліктің еш абыройы жоқ, билік қытай мен орысқа ""олвейз"" болуға ғана жарайды.",1
Тексз немелер. Орыс орыс онбаган деитн едк кои  сол рас ак оз колымен жер болп берптма  шошкалар копген сасыктар🐒🐒🐒🐒🐫🐒🐒🐒🐒,1
Ақулақтар не диді тағы Быз орыстарга жер берген шыгырмыз кайта Казак халқы бомаса орыстар Шошқа уксап өмір сурер еді. Казактар олардын көзін ашкан,1
"Орыс менсінбейді деп атырсыздар ғой, сол орыстарды тек менің әжем емес, барлық әжелер орысты адам екен деп менсінбейтін. Қойшы сол орысты, орыспысың деген, орыс ойына келгенін істейді,  орыстың тірлігі құрсын деп т.б отыратын.Бей берекет өмір сүретіндері туралы ее қараңқалғыр қырық сідіктен пайда болған бәлелер деп. Мен қәзір алпысқа жақындадым, ол кезде орыстың дәуірі сүріп тұрған кез.Мен сол кезде күлгім келетін, әжелер өздерінше орысты менсінбейді ғой деп.Кейінн түсіндім, ата-бабамыздың  қанында тектілік бар екенін. Біздің ауылда немістер тұрды.Олардан талай есіттім.Олар тіпті менсінбейді, қазақшалап ой әкеңді..... алқаш орыстар дегенін өзім есіттім талай.",1
Узун создин кыскасы туркйямен одактасып согыска дайындалу керек осы хабарды барлык елге жеткизип туран алемин куру керек,1
Түркілер бірігейік  бұл аққұлақтарды орындарына қою керек. Бұлар қаруларына сеніп күшті болып отырғой. Ал біз бір АЛЛАға сенеміз түбі бір өлім.,1
Орыс тілі жойылса ғой еліміз де,1
"Ойланбаи солеген аурмай олет , кан керек болса биз даинбыз оздерын кандарына тоидырып жибыремыз",1
Еее надан болған орыстар. Әлемде жер көлемі 1 орын. Соған қарамастан тойымсыздар. Олар әлемде жалғыз қалсын. Дипломатияның үзу керек. Олармен. Түркі елдері біріксе. Нұр үстіне нұр болар еді. Бүкіл әлем оларды көргісі келмейді.,1
Туран  болып биригу керек сонда корер едим,1
Ресейдин кутырган депудаттары провакация жасап отыр курып кетсин орыс халкы шошквлар жерде жумыстарын болмасын .олар биздин аскер туриктерге косылды деп корыкканынан истеп отыр.,1
алқаштардың жері тек кремль,1
Не деп отап жатыр нйкенов тарйхты жаксы былмейды куансын кайтта кенессары хан кайтта тырылмесын деп бату хан екеуы,1
Барып олтирип кету керек,1
әкесның басы орс оттамасын,1
Регстака ту тікен қазақтармыз құдаи қаласы кремлгеде ту тігмуміз мүмкін қорқпаңдар өзекті жанға бір өлім  намыстан өлім күшті деген атам қазақ бұдан артық қорлау барма артын бағаиық,1
Жылдам тұран армиясын құру керек.Түрік елдері.,1
Орыс атажауымыз бұлардан жақсылық күтуге болмайды,1
Қазақстандағы орыстарды қуу керек,1
Тұркияамен бірлесіп орыстармен соғсу керек түбі бір болатын соғыс,1
"Орыс, орыс онбаған, он шошқаға тоймаған, базардағы шошқаны менікі деп қоймаған.Деген өлең бар қазақта аталарымыз солай айтқан. Енді сөздің мағынасы былайғо сонда он шошқа дегені жер, базардағы дегені бос тұрған жерді айтат, ол оны менікі деп қоймаған, Кырымды алып алғандай бәрін алғысы келедіғо шошқалар.",1
Солтүстік орстарын көшіру керек олжақа қазақтарды көбірек қонстандыру керек  менім ойым,1
"Бұл сасық орысты өттатпай, күлі түркі баласы бірігіп Америка сияқты мықты елмен достықты күшейту керек .",1
Бату хан бірінші орысты құрту керек еді өкінішті,1
Бізге жылдам әрі тез түркі елдері бірігуіміз керек біздегі орыс теле арналарын жаптырумызкерек  шығысымыз қытай солтүстік орыс көзсалғанды тоқтатпайды,1
Орыс көрсем қаным басыма шығыды.  АЛАШ ЗИЯЛЫЛАРЫН және 4млн ҚАЗАҚ ты қырған орыстан қандай жақсылық күтуге болады,1
О казагым тездетип бир мемлекет бир халык Туран елин куруга 100 пайыз казак колдап биригумиз керек,1
Ол шошқалар оттай береді Ресей жакпен карам катынасты тоқтату керек Туркиямен карым қатнас орнату керек,1
Бізге Туран әскерін тез куру керек Мусылмандар бірігу керек,1
"Енди естеринди жиындар,анык оздеринин тупки ойын ашык айтып  отыр,туркилер дереу биригу керек,аскерди кушейту керек,барлыгымыз ат салысуымыз керек,оз-озинди силамасан ешким сени силамайды,ойланайык бауырлар...",1
Орыс тілінде сойлеуге бойкот жасау керек.,1
"атом бомбысын сатып алу керек, басты қатырмай, ақшпен бірлесе әрине",1
Ей казактын басын кетирмендер орыстар сендер Чечендерден олердей коркасындарго Казак ояанса Чечендеринендеринен отип кетеди так что тыныш жаткан жыланнын куйрыгын баспандар ато жутып кояамыз,1
Бұл аққұлақтар басынайын деді ғой орнына қою керек бұл шошқаларды,1
Сұмдық қой мынау!Жауап берсін сөздеріне!Қорсылдаған  шошқалар!,1
Турция мен кару жаракты кушейту керек,1
Біз қорықпаймыз өйткені бүкіл түркі елі бізбен бірге. Әділдік орнатамыз Әзербайжан елі сияқты (әрине тыныштық заман болсын елімізде) егерде бір жағдай болса!,1
